,time_published,summary,sentiment
377,20220513T212248,"""What we did was sacrifice bad for good, and that's what a good portfolio manager does,"" CNBC's Jim Cramer said Friday.",neutral
378,20220515T111900,These stocks provide reliable passive income with high-yielding dividends.,neutral
379,20220516T081000,The Wet Tissue and Wipe Market is fragmented and the vendors are deploying various organic and inorganic growth strategies to compete in the market. The growing competition in the market is compelling vendors to adopt various growth strategies such as promotional activities and spending on ...,neutral
380,20220516T120000,"Having recently completed the full integration of WHE into Creatd Partners, the Company has since been able to employ a cross-pollination model, drawing from WHE's powerful influencer network and Vocal for Brands' storytelling capabilities to drive even further impact for Creatd Partners clients.",neutral
381,20220516T120000,"Wall Street was downbeat last week, with losses seen in all major indexes",negative
382,20220516T163000,Wall Street continued to remain downbeat last week as inflation data sparked off continued faster Fed rate hike worries.,neutral
383,20220517T030103,"The top 10 advertisers together accounted for 36% share of ad volume during Q1, 2022",neutral
384,20220517T102007,Sector ETF report for XLP,neutral
385,20220517T164500,Walmart stock is getting crushed after reporting earnings. Here's the must-hold support area to watch now.,neutral
386,20220518T051041,"Procter & Gamble ( NYSE:PG - Get Rating ) was upgraded by StockNews.com from a ""hold"" rating to a ""buy"" rating in a research report issued on Wednesday. A number of other research analysts have also weighed in on the company.",neutral
387,20220518T123000,"NEW YORK, May 18, 2022 ( GLOBE NEWSWIRE ) -- via InvestorWire - SPYR Inc. ( OTCQB: SPYR ) today announces its placement in an editorial published by NetworkNewsWire ( ""NNW"" ) , one of 50+ trusted brands within the InvestorBrandNetwork ( ""IBN"" ) , a multifaceted financial news and publishing",neutral
388,20220518T134800,Company Releases Inaugural ESG Report with Preliminary LCA Data,neutral
389,20220518T144205,"A whale with a lot of money to spend has taken a noticeably bearish stance on Procter & Gamble. Looking at options history for Procter & Gamble ( NYSE:PG ) we detected 12 strange trades. If we consider the specifics of each trade, it is accurate to state that 25% of the investors opened trades wit",neutral
390,20220518T150000,Plus a look at China's economy and unusual economic indicators.,negative
391,20220518T192739,"Despite its mission to ""accelerate the world's transition to sustainable energy,"" Tesla has been removed from the S&P 500's ESG index following its latest rebalancing. The changes to the index took effect on May 2. ELON MUSK'S SPACEX IS POISED TO BECOME THE MOST VALUABLE US STARTUP",negative
392,20220518T200900,"""Inflation always hits the lower-income cohorts hardest and first,"" and the latest retail results show how that's playing out, one expert says.",negative
393,20220518T203000,"Denman, 51, brings nearly 30 years of leadership and financial experience in both the technology and consumer packaged goods sectors.",positive
394,20220518T222313,"While we may not be able to control the day-to-day action in the market, what we can control is how we react to it.",negative
395,20220519T011700,A new set of stocks is taking big hits.,negative
396,20220519T091934,Rising costs catch up with Walmart and Target,negative
397,20220519T091934,America's big retailers' shares swoon,negative
398,20220519T103300,"""As a leader, it is an honor and privilege to see colleagues continue to grow their career within a company while also having the opportunity to recruit top tier talent to further build our business,"" said Kristen Hartman, Specialty Category President. ""With strong leadership we are ...",neutral
399,20220519T144500,"Enjoy your ""Golden Years"" while these stocks preserve and build your nest egg.",positive
400,20220519T150300,Public opinion and the Russian government's stance could complicate an eventual return.,negative
401,20220519T183400,It's been a brutal week for consumer-sector stocks while the S&P 500 index is edging closer to bear market territory.,neutral
402,20220519T192947,We are providing a breakdown of the revenue exposure to China and the potential supply chain ramifications of every name we own.,negative
403,20220520T023000,"The market vendors should focus on grabbing business opportunities from the offline segment under the distribution channel category, as it accounted for the largest market share in the base year.",neutral
404,20220520T101344,The Fed's strategy for reigning in inflation requires that it destroy demand. Here's what that means for the economy and stocks.,neutral
405,20220520T102008,Smart Beta ETF report for NULV,neutral
406,20220520T110500,"Procter & Gamble turned in an incredible quarter, with a truly astounding performance, but this can't go on forever.",positive
407,20220520T145116,"This post contains sponsored advertising content. This content is for informational purposes only and not intended to be investing advice. The tech trade began to crumble late last year when it became clear that inflation wasn't easing. During the equity rout, energy stocks and a group of ironclad c",negative
408,20220520T151500,"Kimberly-Clark upped its guidance for 2022, but don't count your chickens before they've hatched. A key competitor is closely watching prices.",neutral
409,20220520T170200,P&G (PG) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,neutral
410,20220520T200900,"CHICAGO, May 20, 2022 ( GLOBE NEWSWIRE ) -- Oil-Dri Corporation of America ( NYSE: ODC ) announced three key senior leadership promotions within the company. Effective today, Aaron Christiansen has been appointed to Vice President of Operations, Wade Robey to Vice President of Agriculture & Am",positive
411,20220521T140000,The company is raising the prices of its products to offset rising inflation.,neutral
412,20220522T181734,"In the past few months, many investors have seen declines in their portfolios. With the stock market remaining volatile thanks to a number of headwinds, investors are hoping for better days to come. In the meantime, investors could be considering value stocks in the stock market today.",neutral
413,20220523T112000,Sea Limited offers investors a cross-section of the booming digital economy.,neutral
414,20220523T120000,"Wall Street was downbeat last week, with losses seen in all major indexes.",negative
415,20220523T131153,"With the stock market down 18% from its peak, now is a good time for a portfolio upgrade.",negative
416,20220523T131449,The metaverse has taken 2022 by storm. This futuristic world is the latest buzzword in business. But is it living up to the hype?,neutral
417,20220523T145400,"Consumer staples stocks ran out of luck as a defensive play in last week's market plunge: The Consumer Staples Select Sector SPDR Fund slid more than 8%, putting it in the red so far in 2022. At least some of those stocks might struggle to regain their footing, according to Wells Fargo.",negative
418,20220523T150000,Procter & Gamble is handling inflation arguably better than any other consumer staples company.,neutral
419,20220523T160000,Concerns that tighter monetary policies to tame surging inflation will slow down global economic growth have weighed on the risk sentiment last week.,neutral
420,20220523T172916,FUTY: 3 Defensive ETFs to Buy After Goldman Sachs Lowers Their US Economic Growth Forecast StockNews.com,neutral
421,20220524T023000,"Premium Cosmetics Market: 5.80% YOY Growth Rate in 2022 | By Product, Distribution Channel, and Geography | Size, Share, Outlook, and Opportunity Analysis, 2022 - 2026 PR Newswire",neutral
422,20220524T113307,The campaign has been conceptualised by Leo Burnett,positive
423,20220524T130000,"Former frog Design CEO, Andrew Zimmerman, Launches Journey to Help Top Brands Design, Build and Activate Next Generation Customer Experiences and Business Models",neutral
424,20220524T143000,An ETF double the size of Cathie Wood's ARK Innovation ETF just lost around $1.5 billion in a matter of two days.,negative
425,20220525T130000,"It's a bold word to describe them, but some companies really are in businesses bigger than any economic headwind.",neutral
426,20220525T133654,"Even in a recession, there are good investment opportunities in the stock market, says Jim Cramer.",neutral
427,20220525T135651,"Fortune released its annual Fortune 500 list, ranking the largest companies in America by revenue. The list included a cryptocurrency company for the first time and saw several newcomers from the previous year. Cryptocurrency Earns Its Place: For the first time ever, a cryptocurrency company landed",neutral
428,20220525T140240,"Concerns over the potential for the economy to slide into a recession if the Fed tightens its monetary policy too aggressively have driven substantial selloffs across almost all market segments. Because inflation is expected to remain high for an extended period, the Fed may have no option but to ...",neutral
429,20220525T142300,I managed to buy when these stocks were relatively cheap and now I'm planning to hold on to them for the rest of my life.,positive
430,20220525T142400,"• The SPARK Matrix™ provides competitive analysis & ranking of the leading Ad Tech platform vendors. • Skai, with its comprehensive omnichannel advertising technology fueled by advanced data intelligence, has received strong ratings across the parameters of technology excellence and customer ...",neutral
431,20220525T183647,"CHICAGO, May 25, 2022 ( GLOBE NEWSWIRE ) -- Analytics Unite, the summit for retail and consumer brands, today announces speakers at this year's event will include Lowe's CIO Seemantini Godbole as well as executives from Giant Eagle, Kellogg's, Kroger, Yesway and other major retailers and consume",neutral
432,20220525T195900,"It pays to be healthy, depending on how you invest your money. The global wellness industry has already reached US$4 trillion annually, highlighting the massive demand for non-traditional health and wellness products. Psychedelics are emerging as a promising segment of this industry.",neutral
433,20220525T204700,The Dow Jones Industrial Average closed higher on Wednesday after the index dipped into the negative briefly. Stocks rose across the board after the release of the Fed's May meeting minutes noted that more aggressive tightening may become appropriate depending on the economy.,neutral
434,20220526T030057,Technology and a 'few to many' model are reinventing the informal sector's supply chain,neutral
435,20220526T121600,"WD-40 has many uses, including returns for your portfolio.",positive
436,20220526T141500,"These stocks might not have a lot of growth, but they more than make up for it with reliability.",neutral
437,20220526T152200,"Today's Research Daily features new research reports on 16 major stocks, including Tesla, Inc. (TSLA), The Procter & Gamble Company (PG), and Bristol-Myers Squibb Company (BMY).",positive
438,20220526T172053,"Analysts are still seeing opportunities in the consumer, healthcare and energy sectors.",neutral
439,20220526T195800,And we've got some thoughts for people wondering whether they should invest now.,neutral
440,20220527T100000,Boost your passive income stream with companies you can count on.,negative
441,20220527T102600,"Tesla, Procter & Gamble, Bristol-Myers Squibb, Wells Fargo and Intuit have been included in this Analyst Blog.",neutral
442,20220528T040000,"Consumers are growing cautious, and companies from Walmart to Procter & Gamble are altering course to reflect changing budgets.",negative
443,20220528T102200,These two stocks have increased dividends annually for decades.,positive
444,20220528T105600,Procter & Gamble and Deere have different strategies that work for different reasons,positive
445,20220528T110000,Here's why leading dividend stocks could help your portfolio persevere in a tough market.,positive
446,20220530T134816,"Are These The Best Consumer Discretionary Stocks To Invest In Today? For investors looking out for the most active stocks in the stock market today, consumer discretionary stocks are in focus. Notably, this would come at a rather unique time for the sector in general.",neutral
447,20220530T195457,"F of the cloak-and-dagger variety, it is hard to beat the pages of John le Carré or Ian Fleming. But the world of corporate spying has plenty of drama of its own. Take the alleged skulduggery in a recent court case involving two American software firms.",negative
448,20220531T105925,"Unilever PLC ( NYSE: UL ) has appointed Nelson Peltz, the Chief Executive Officer and founding partner of Trian Fund Management L.P., as a Non-Executive Director. The appointment will be effective from July 20, 2022. Trian ...Full story available on Benzinga.com",neutral
449,20220531T122210,Oil prices rose as EU leaders agreed on a deal to ban most Russian crude imports. Strict Covid lockdowns in China's largest city are set to ease Wednesday.,neutral
450,20220531T142200,Activist investor Nelson Peltz has joined the board of the company that makes Dove soap and Ben & Jerry's ice-cream. Hopes for a repeat of his previous successful campaign may be too high.,negative
451,20220531T151500,"LONDON, May 31, 2022 ( GLOBE NEWSWIRE ) -- The skincare market in the Asia-Pacific is expected to grow at a CAGR of more than 4% during the forecast period. The manufacturers' efforts to establish a strong ecommerce platform during the COVID-19 crisis is identified as one of the major drivers fu",neutral
452,20220531T151500,The Asia-Pacific skincare market size was valued at $76.82 billion in 2021 The Asia-Pacific skincare market size was valued at $76.82 billion in 2021,neutral
453,20220531T152000,"New York ( CNN Business ) A shakeup may be in the works at Unilever, the consumer goods giant behind brands like Dove soap, Hellmann's mayonnaise and Vaseline.",neutral
454,20220531T152126,"Activist investor Nelson Peltz will join Unilever's board as a non-executive director, the company said yesterday, after disclosing Peltz's firm had built a 1.5% stake in the roughly $120 billion company.",neutral
455,20220531T153000,"With inflation hitting a four-decade high, investors need to find suitable investments to park their money in to prevent it from eroding.",positive
456,20220531T161640,"Unilever plc ( NYSE: UL ) shares traded higher by 8% on Tuesday after the company announced activist investor Nelson Peltz is joining the company's board of directors. What Happened? On Tuesday morning, Unilever named Peltz a board member and non-executive director. Peltz will serve as a member of",neutral
457,20220531T181000,"The consumer staples giant gave an official voice to a shareholder activist, and investors expect good things to come from the move.",neutral
458,20220531T182550,Someone with a lot of money to spend has taken a bullish stance on Procter & Gamble ( NYSE:PG ) . And retail traders should know. We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga. Whether this is an institution or just a weal,neutral
459,20220531T233200,"P&G overhauled its management after the investor's proxy fight, but the consumer-goods giant it didn't follow his advice to de-emphasize big brands, which have fueled surging sales.",negative
460,20220601T050800,"Nelson Peltz founding partner of Trian Fund Management LP. speak at the WSJD Live conference in Laguna Beach, California October 25, 2016. REUTERS/Mike Blake/File Photo",neutral
461,20220601T110003,"President Biden meets with Jerome Powell, Janet Yellen on May 31, 2022 President Biden met Tuesday with Federal Reserve Chair Jerome Powell to discuss Biden's plan to fight high inflation, which he explained in a Wall Street Journal op-ed on Monday.",neutral
462,20220601T152300,A top activist investor sets his sights on shaking things up at the consumer packaged goods giant.,positive
463,20220601T181139,"I just added Unilever to my portfolio, even though it is out of favor today. Here's what pushed me to take the plunge.",positive
464,20220601T184118,"RBC Capital Markets analysts upgraded Danaher, touting the life-sciences firm as the kind of high-quality, defensive stock to own right now.",neutral
465,20220601T222100,"ORLANDO, Fla., June 1, 2022 /PRNewswire/ -- Today, PureCycle Technologies, Inc. ( NASDAQ: PCT ) announced the appointment of a new member to its Board of Directors, Daniel M. Coombs.",neutral
466,20220601T231352,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",positive
467,20220602T121526,"On CNBC's ""Mad Money Lightning Round,"" Jim Cramer said he prefers Danaher Corporation ( NYSE: DHR ) over InMode Ltd. ( NASDAQ: INMD ) . Cramer recommended buying Boise Cascade Company ( NYSE: BCC ) as the stock sells at four times earnings. Although Doximity, Inc. ( NYSE: DOCS ) makes",neutral
468,20220602T124725,"San Francisco Fed President Mary Daly yesterday stated her support for aggressive interest rate hikes to reduce inflationary pressure yesterday. ""We need to do that expeditiously, and I see a couple of 50 basis point hikes immediately in the next couple of meetings to get there,"" she said.",neutral
469,20220602T132130,"In America Janet Yellen admitted that she had been wrong to think that inflationary pressures would be temporary. The treasury secretary said that in 2021 she ""didn't fully understand"" the risks from supply-chain bottlenecks and other factors that have driven America's inflation rate to a 40-year ...",neutral
470,20220602T142555,"Microsoft stock slipped during Thursday's trading session after the tech giant cut its profit and revenue guidance for the fourth quarter of fiscal year 2022, citing unfavorable foreign exchange rate movement.",neutral
471,20220602T203138,"The CNBC Investing Club held its ""Monthly Meeting"" for June on Thursday. Here's an updated view for all the stocks in the portfolio.",positive
472,20220603T143000,"It was a great quarter, but there are some nuances to understand about P&G's ability to raise prices.",neutral
473,20220603T164025,We're providing Club members with a brief rundown of how we ranked the first-quarter 2022 earnings releases for our holdings.,neutral
474,20220605T100900,Both of these Buffett stocks are up so far this year.,neutral
475,20220606T024700,New players in the Ayurveda segment of the baby care market are building up an omnichannel presence,neutral
476,20220606T040000,The climate crisis is intensifying and the latest report by the Intergovernmental Panel on Climate Change has warned that the world is not on track to limit global temperature rise to 1.5 degrees Celsius above pre-industrial levels.,neutral
477,20220606T094500,"Dividend stocks have many advantages, but there are some common mistakes worth steering clear of.",negative
478,20220606T131615,Dividend stocks provide passive income that can come in clutch during times of volatility.,negative
479,20220606T161500,Plus a look at how investors can deal with inflation.,neutral
480,20220607T110717,"Pune, June 07, 2022 ( GLOBE NEWSWIRE ) -- Global Brand Licensing Market research report [2022-2028] has been prepared by experienced and knowledgeable market analysts and researchers. It is a phenomenal compilation of important studies that explore the competitive landscape, segmentation, geogra",neutral
481,20220607T120000,"""In the past year, Cytovia has graduated into a fully-integrated global biotech with R&D and cell manufacturing capabilities.",neutral
482,20220607T134445,The market's been too rough on these names for reasons that aren't likely to last.,negative
483,20220607T214521,"In the latest trading session, Procter & Gamble (PG) closed at $146.94, marking a +1.11% move from the previous day.",neutral
484,20220608T040038,"No, you're not going crazy - package sizes are shrinking The Associated Press - en ...",negative
485,20220608T072300,"A worker in a protective suit walks on a pedestrian crossing at an intersection in Lujiazui financial district, after the lockdown placed to curb the coronavirus disease ( COVID-19 ) outbreak was lifted in Shanghai, China June 2, 2022. REUTERS/Aly Song/",negative
486,20220608T111100,"Has Netflix's growth run into a brick wall, or is the stock a dirt cheap bargain today? Two experts help you settle the score.",negative
487,20220608T111400,"IBM has started an ""orderly wind-down"" of its business and laying off the workforce in Russia with its CEO Arvind Krishna saying the IT giant will continue to stand by its employees in the country.",negative
488,20220608T113500,"P&G, LVMH, and Disney are all great evergreen investments.",neutral
489,20220608T130001,"Jim Cramer, host of CNBC's ""Mad Money,"" explains why crypto should be part of a diversified portfolio.",neutral
490,20220608T142057,"Despite the decline in growth names that's been going on for several quarters, Goldman Sachs analysts believe many growth stocks are still overvalued.",neutral
491,20220608T144148,I tend to like out-of-favor industry leaders with historically high yields. Here's why I think this trio is worth buying.,negative
492,20220608T155500,"Ten U.S. companies disclose sales exposure to Russia, and that exposure isn't very big, Bank of America says.",neutral
493,20220608T192852,This post contains sponsored advertising content. This content is for informational purposes only and not intended to be investing advice. ( Wednesday Market Open ) Equity index futures are pointing to a lower open as the market continues to ping-pong ahead of Friday's anticipated Consumer Price ...,negative
494,20220608T203205,AI Eye Podcast 703: Stocks discussed: ...,neutral
495,20220609T010010,"You're not crazy: there are five fewer Kleenex in that box than normal. Consumers may feel like their eyes are deceiving them, but companies have...",negative
496,20220609T104924,"Roberto Guidetti, Group CEO of Vitasoy, a company founded in 1940 in Hong Kong discusses the modern plant-based food market in China ...",positive
497,20220609T114500,Immunocore Appoints Siddharth Kaul to its Board of Directors,neutral
498,20220609T130000,National Advertising Division Recommends P&G Discontinue Odor Elimination Claims for Febreze Products. P&G to Appeal PR ...,neutral
499,20220609T143054,"Procter & Gamble (NYSE: PG) stock price jumped 60% from around $91 at 2018 end to $147 currently, primarily due to favorable changes in its revenues and P/S multiple.",neutral
500,20220610T130500,"Here are five simple, reliable, and successful stocks to kick-start your passive income journey.",positive
501,20220610T194040,Author Roger Martin talks about figuring out what works.,negative
502,20220610T210000,"WILMINGTON, Del., June 10, 2022 ( GLOBE NEWSWIRE ) -- Ashland Global Holdings Inc. ASH today announced the appointment of two new directors to its Board as of July 1, 2022: Steve Bishop, former chief executive officer, Procter and Gamble ( P&G ) consumer health care, and Suzan Harrison, former ...",neutral
503,20220610T210000,William G. Dempsey and Ricky C. Sandler plan exit in January 2023 William G. Dempsey and Ricky C. Sandler plan exit in January ...,neutral
504,20220611T133319,"People in search of tampons and other period products are finding sparsely stocked store shelves and higher prices, CNN reports.",negative
505,20220611T152300,Investing in stocks can be an excellent way to generate wealth over time.,positive
506,20220612T104741,"Jim Cramer, the host of CNBC's Mad Money, still believes there are ""fortunes to be made in crypto."" What Happened: In a recent interview on CNBC's Make It, Cramer said he couldn't tell people not to own crypto because he still owns Ethereum ETH/USD.",negative
507,20220612T121600,My passive income from real estate is really starting to add up.,positive
508,20220613T050000,"NOT FOR RELEASE, PUBLICATION OR DISTRIBUTION, DIRECTLY OR INDIRECTLY ( IN WHOLE OR IN PART ) IN, INTO OR FROM ANY JURISDICTION WHERE TO DO SO WOULD CONSTITUTE A VIOLATION OF THE RELEVANT LAWS OR REGULATIONS OF SUCH JURISDICTION. NOT FOR GENERAL RELEASE IN THE UNITED STATES - SEE FURTHER ...",neutral
509,20220613T050000,"NOT FOR RELEASE, PUBLICATION OR DISTRIBUTION, DIRECTLY OR INDIRECTLY ( IN WHOLE OR IN PART ) IN, INTO OR FROM ANY JURISDICTION WHERE TO DO SO WOULD CONSTITUTE A VIOLATION OF THE RELEVANT LAWS OR REGULATIONS OF SUCH JURISDICTION. NOT FOR GENERAL RELEASE IN THE UNITED STATES - SEE FURTHER ...",neutral
510,20220613T100000,"The is segmented by distribution channel ( offline and online ) . Based on the distribution channel, the offline segment had a significant share of the market in 2021. However, the revenue generated from the offline distribution channel segment has been declining due to the increasing preference ...",neutral
511,20220613T140000,"He will oversee a high-performing team of over 18,000 Associates ( employees ) around the world, all joined by Mars Petcare's Purpose: A Better World for Pets. Ikdeep joined Mars in August 2020 as Pet Nutrition's Regional President for North America - the largest market for the Pet Nutrition ...",neutral
512,20220613T141800,"WESTCHESTER, Ill., June 13, 2022 ( GLOBE NEWSWIRE ) -- Today, Ingredion Incorporated ( NYSE: INGR ) , a leading global provider of ingredient solutions to the food manufacturing industry, announced that Javier Echevarria has been named vice president and chief procurement officer.",neutral
513,20220613T141804,"WESTCHESTER, Ill., June 13, 2022 ( GLOBE NEWSWIRE ) -- Today, Ingredion Incorporated INGR, a leading global provider of ingredient solutions to the food manufacturing industry, announced that Javier Echevarria has been named vice president and chief procurement officer.",positive
514,20220613T161500,"5 Defensive Stocks To Watch In the Stock Market This Week As we enter a new trading week, investors could be on the lookout for defensive stocks in the stock market. For one, this would be due to the Consumer Price Index ( CPI ) , which rose 8.6% year-over-year in May.",neutral
515,20220613T200038,"Investors who are fearful that 2022's market downturn is about to get a lot worse can find plenty of protection among exchange-traded funds ( ETFs ) . Individual stocks can carry a lot of risk. on the other hand, mutual funds don't have quite the breadth of tactical options.",neutral
516,20220614T102009,Smart Beta ETF report for ...,neutral
517,20220614T191500,Dow Jones Falls As Yields Rise. Elon Musk To Hold Twitter Meeting. Apple Stock Up Amid MLS Deal Investor's Business Daily ...,neutral
518,20220614T205633,"Tampons are the latest product disappearing from store shelves in the United States, another illustration of supply chain problems that are complicating daily life, following the troubling shortage of baby formula.",negative
519,20220614T205633,"Tampons are the latest product disappearing from store shelves in the United States, another illustration of supply chain problems that are complicating daily life, following the troubling shortage of baby formula.",negative
520,20220614T211300,"The Dow Jones Industrial Average dropped 151.91 points, or 0.5%, while the S&P 500 slid 0.38%, declining for the fifth straight session. The tech-heavy Nasdaq Composite eked out a 0.18% gain. Advertisement",neutral
521,20220615T113500,"Inflation is a massive threat to consumers' buying power, but it's also a threat to company profits. Here's a look at three names dealing with the hit.",negative
522,20220615T143700,"Pascal Saint-Amans, Director, OECD Center for Tax Policy and Administration Peter Robinson, President and CEO, U.S. Council for International Business ( USCIB ) Fabrizia Lapecorella, Chair, OECD Committee on Fiscal Affairs; Director General of Finance, Ministry of Finance Italy",neutral
523,20220615T150532,Jim Cramer is fickle when it comes to stock recommendations. The same could be said for cryptocurrency. What Happened: The CNBC host sounded the alarm on the crypto sector Monday after previously recommending viewers to invest.,negative
524,20220615T164347,"A whale with a lot of money to spend has taken a noticeably bearish stance on Procter & Gamble. Looking at options history for Procter & Gamble PG we detected 12 strange trades. If we consider the specifics of each trade, it is accurate to state that 41% of the investors opened trades with ...",neutral
525,20220615T180400,"ORLANDO, Fla., June 15, 2022 /PRNewswire/ -- Today, PureCycle Technologies, Inc. ( Nasdaq: PCT ) celebrated its second annual day of service, Pure Planet Day, in Florida and Ohio.",neutral
526,20220615T200900,Health and history were major trend in the Morning Consult study this year.,neutral
527,20220615T201500,StockNews.com upgraded shares of PennyMac Mortgage Investment Trust ( NYSE:PMT - Get Rating ) from a sell rating to a hold rating in a research report released on Wednesday.,neutral
528,20220615T214521,"Procter & Gamble (PG) closed the most recent trading day at $132.51, moving -0.99% from the previous trading session.",neutral
529,20220616T051646,"StockNews.com started coverage on shares of Altisource Asset Management ( NYSE:AAMC - Get Rating ) in a research report issued on Thursday. The brokerage set a ""hold"" rating on the stock.",neutral
530,20220616T051841,"Research analysts at StockNews.com assumed coverage on shares of United States Antimony ( NYSE:UAMY - Get Rating ) in a research report issued on Thursday. The firm set a ""hold"" rating on the stock. Shares of United States Antimony stock opened at $0.40 on Thursday.",neutral
531,20220616T051841,"Equities researchers at StockNews.com began coverage on shares of United States Antimony ( NYSE:UAMY - Get Rating ) in a research note issued on Thursday. The firm set a ""hold"" rating on the stock. Shares of NYSE:UAMY opened at $0.40 on Thursday. The business's 50 day moving average is $0.43.",neutral
532,20220616T051841,"Cracker Barrel Old Country Store ( NASDAQ:CBRL - Get Rating ) was downgraded by StockNews.com from a ""buy"" rating to a ""hold"" rating in a research note issued to investors on Thursday. CBRL has been the topic of several other reports.",neutral
533,20220616T051841,"BeiGene ( NASDAQ:BGNE - Get Rating ) was downgraded by StockNews.com from a ""hold"" rating to a ""sell"" rating in a research report issued to clients and investors on Thursday.",neutral
534,20220616T051841,"WSFS Financial ( NASDAQ:WSFS - Get Rating ) was upgraded by stock analysts at StockNews.com from a ""sell"" rating to a ""hold"" rating in a research report issued on Thursday. Other equities research analysts also recently issued reports about the stock.",neutral
535,20220616T051841,"Qorvo ( NASDAQ:QRVO - Get Rating ) was upgraded by stock analysts at StockNews.com from a ""hold"" rating to a ""buy"" rating in a research note issued on Thursday.",neutral
536,20220616T051841,"Premier ( NASDAQ:PINC - Get Rating ) was downgraded by research analysts at StockNews.com from a ""strong-buy"" rating to a ""buy"" rating in a report issued on Thursday. Other equities analysts also recently issued research reports about the stock.",neutral
537,20220616T051841,"XPO Logistics ( NYSE:XPO - Get Rating ) was upgraded by research analysts at StockNews.com from a ""hold"" rating to a ""buy"" rating in a report released on Thursday. A number of other research firms have also weighed in on XPO. Oppenheimer dropped their target price on XPO Logistics from $106.00 ...",neutral
538,20220616T051841,"Myriad Genetics ( NASDAQ:MYGN - Get Rating ) was upgraded by StockNews.com from a ""hold"" rating to a ""buy"" rating in a note issued to investors on Thursday. A number of other analysts also recently issued reports on the stock.",neutral
539,20220616T051841,"ResMed ( NYSE:RMD - Get Rating ) was downgraded by StockNews.com from a ""buy"" rating to a ""hold"" rating in a report released on Thursday. RMD has been the subject of several other research reports.",neutral
540,20220616T051841,"Equities researchers at StockNews.com initiated coverage on shares of Endo International ( NASDAQ:ENDP - Get Rating ) ( TSE:ENL ) in a research report issued to clients and investors on Thursday. The firm set a ""hold"" rating on the stock.",neutral
541,20220616T051841,"Analysts at StockNews.com started coverage on shares of Sify Technologies ( NASDAQ:SIFY - Get Rating ) in a research note issued to investors on Thursday. The brokerage set a ""hold"" rating on the technology company's stock. Shares of NASDAQ SIFY opened at $2.05 on Thursday.",neutral
542,20220616T051841,"TravelCenters of America ( NASDAQ:TA - Get Rating ) was downgraded by investment analysts at StockNews.com from a ""strong-buy"" rating to a ""buy"" rating in a note issued to investors on Thursday. Other equities research analysts have also recently issued research reports about the stock.",neutral
543,20220616T051841,"StockNews.com began coverage on shares of Pluristem Therapeutics ( NASDAQ:PSTI - Get Rating ) in a research note issued on Thursday. The firm set a ""hold"" rating on the biotechnology company's stock. Shares of PSTI stock opened at $1.22 on Thursday.",neutral
544,20220616T051841,"Investment analysts at StockNews.com began coverage on shares of Athersys ( NASDAQ:ATHX - Get Rating ) in a note issued to investors on Thursday. The brokerage set a ""sell"" rating on the biopharmaceutical company's stock.",neutral
545,20220616T051841,"Investment analysts at StockNews.com began coverage on shares of Vascular Biogenics ( NASDAQ:VBLT - Get Rating ) in a report released on Thursday. The brokerage set a ""hold"" rating on the biopharmaceutical company's stock.",neutral
546,20220616T051841,"Stock analysts at StockNews.com began coverage on shares of Trevena ( NASDAQ:TRVN - Get Rating ) in a research report issued on Thursday. The firm set a ""sell"" rating on the biopharmaceutical company's stock.",neutral
547,20220616T051841,"Equities research analysts at StockNews.com began coverage on shares of Park City Group ( NASDAQ:PCYG - Get Rating ) in a research note issued to investors on Thursday. The firm set a ""hold"" rating on the technology company's stock. A number of other equities analysts have also recently weighed ...",neutral
548,20220616T051841,"Transportadora de Gas del Sur ( NYSE:TGS - Get Rating ) was upgraded by StockNews.com from a ""buy"" rating to a ""strong-buy"" rating in a research report issued to clients and investors on Thursday.",neutral
549,20220616T051844,"W.W. Grainger ( NYSE:GWW - Get Rating ) was downgraded by equities research analysts at StockNews.com from a ""strong-buy"" rating to a ""buy"" rating in a research report issued to clients and investors on Thursday. GWW has been the topic of several other reports. Wolfe Research raised shares of ...",neutral
550,20220616T051844,"Corning ( NYSE:GLW - Get Rating ) was upgraded by analysts at StockNews.com from a ""hold"" rating to a ""buy"" rating in a research note issued on Thursday. GLW has been the topic of a number of other reports.",neutral
551,20220616T051847,"CTO Realty Growth ( NYSE:CTO - Get Rating ) was downgraded by equities researchers at StockNews.com from a ""hold"" rating to a ""sell"" rating in a report released on Thursday.",neutral
552,20220616T051847,"Aptiv ( NYSE:APTV - Get Rating ) was upgraded by equities researchers at StockNews.com from a ""sell"" rating to a ""hold"" rating in a report issued on Thursday. A number of other equities research analysts have also recently issued reports on the company.",neutral
553,20220616T051847,"American Eagle Outfitters ( NYSE:AEO - Get Rating ) was upgraded by analysts at StockNews.com from a ""sell"" rating to a ""hold"" rating in a note issued to investors on Thursday. A number of other equities research analysts have also recently weighed in on the company.",neutral
554,20220616T051847,"Antero Resources ( NYSE:AR - Get Rating ) was upgraded by investment analysts at StockNews.com from a ""sell"" rating to a ""hold"" rating in a research note issued to investors on Thursday. Other research analysts also recently issued research reports about the company.",neutral
